"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844382209542926507","Thu Oct 10 14:19:20 +0000 2024","3","NONTON LIVE STREAMING PREPARE DARI SEKARANG Timnas Indonesia Vs Bahrain! Nonton Gratis tanpa iklan. Klik link di bawah buat nobar ▶️ LINK SERVER 1: https://t.co/67wv7ulf7T ▶️ LINK SERVER 2: https://t.co/67wv7ulf7T #TimnasIndonesia #PialaDunia #TimnasDay #Bahrain https://t.co/Iwhz8JAwln","1844382209542926507","https://pbs.twimg.com/media/GZiP2E-bMAAkEok.jpg","","in","","0","0","0","https://x.com/Mironto0x/status/1844382209542926507","1801608957204774912","Mironto0x"
"1844386956270305337","Thu Oct 10 14:53:16 +0000 2024","16","@garagarabola_ Good Luck Boys! https://t.co/aqNLyySU7l","1844390750559272963","","garagarabola_","en","iNews Tower","0","0","0","https://x.com/officialinews_/status/1844390750559272963","132078023","officialinews_"
"1835197774868234367","Sun Sep 15 06:03:40 +0000 2024","4","Timnas Indonesia Vs Bahrain Momentum Skuad Garuda Bangkit dari Bayang-bayang Pembantaian 10-0 di Kualifikasi Piala Dunia: Timnas Indonesia masih menyimpan kenangan kelam jelang hadapi Bahrain dalam lanjutan Kualifikasi Piala Dunia 2026 di mana skuad https://t.co/APVzvN9TDa https://t.co/EBbN1M8BJB","1835197774868234367","https://pbs.twimg.com/media/GXfuprdbcAAtICV.jpg","","in","Pulo Gadung, Indonesia","0","0","0","https://x.com/tvOneNews/status/1835197774868234367","55507370","tvOneNews"
"1843555226256847220","Tue Oct 08 07:33:12 +0000 2024","1","Timnas Indonesia vs Bahrain: Laga ke-50 Shin Tae-yong Bersama Skuad Garuda Ini Rekornya https://t.co/lxThQJJg39","1843555226256847220","","","in","Indonesia","0","0","0","https://x.com/KompasTV/status/1843555226256847220","71436318","KompasTV"
"1844184209600151973","Thu Oct 10 01:12:33 +0000 2024","2","Adu Perang Kreasi Lini Tengah Bahrain Vs Timnas Indonesia: Ali Haram Berhadapan dengan Duet Thom Haye dan Ivar Jenner https://t.co/JSJjuAf8V0","1844184209600151973","","","in","Indonesia","0","0","0","https://x.com/bolacomID/status/1844184209600151973","1486284086","bolacomID"
"1840995094872408149","Tue Oct 01 06:00:09 +0000 2024","0","Timnas Indonesia vs Bahrain: Curi Start The Reds Gelar Latihan Lebih Dulu dari Garuda https://t.co/bLDBq0Q9rC","1840995094872408149","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1840995094872408149","47274731","okezonenews"
"1844254805528805624","Thu Oct 10 05:53:04 +0000 2024","8","Alasan Timnas Indonesia Diyakini Bisa Menang Vs Bahrain https://t.co/1VFe7iyGdw","1844254805528805624","","","in","Jakarta","0","0","1","https://x.com/VIVAbola/status/1844254805528805624","95141299","VIVAbola"
"1843977749968335225","Wed Oct 09 11:32:09 +0000 2024","3","Seluruh pemain Timnas Indonesia sudah berkumpul jelang melawan Bahrain dalam Kualifikasi Piala Dunia 2026. Dua pemain anyar Garuda Mees Hilgers dan Eliano Reijnders pun sudah ikut berlatih. https://t.co/FnzAKyxrrt","1843977749968335225","","","in","Jakarta","0","0","0","https://x.com/detiksport/status/1843977749968335225","135783107","detiksport"
"1844178940136653170","Thu Oct 10 02:16:51 +0000 2024","0","@gramaxson21 @ordzaar Indonesia 2-1 Bahrain Sama2 bermain alot saling jual beli serangan..namun tidak ada gol yg tercipta $ZAAR AND $ZAAR @ordzaar SMA 70 #TimnasDay","1844200389815697789","","gramaxson21","in","Cirebon Utara","0","0","0","https://x.com/Naimvcu/status/1844200389815697789","1432151180","Naimvcu"
"1842771906426187834","Sun Oct 06 03:40:34 +0000 2024","3","Jadwal Timnas Indonesia vs Bahrain Analisis Strategi Shin Tae-yong dengan Kehadiran Mees Hilgers dan Eliano Reijnders https://t.co/EDJFt8akap #TempoBola","1842771906426187834","","","in","Indonesia","0","0","0","https://x.com/tempodotco/status/1842771906426187834","18129942","tempodotco"
